section,lesson,lesson_description,word,is_sight_word,phonetic_symbol,letter_combination,source
3,35,Words with the Short-I Vowel Sound,did,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,hid,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,lid,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,kid,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,bin,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",quit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",quiz,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",it,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",Tim,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",get,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",set,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",in,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",den,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",him,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",is,F,/z/,,OPG_Revised_Instructor.pdf
